Index, I_out, Q_out
810, -53669, 10265
811, -54649, 14818
812, -53602, 18492
813, -52408, 21706
814, -50489, 23423
815, -49076, 20907
816, -47800, 16983
817, -45785, 9458
818, -42228, -1166
819, -39343, -12515
820, -36034, -25551
821, -31150, -35611
822, -26139, -43464
823, -19646, -48523
824, -13599, -51530
825, -5964, -52474
826, 2124, -51158
827, 11766, -45621
828, 20873, -36791
829, 29671, -27306
830, 37862, -18036
831, 42299, -11094
832, 44454, -6606
833, 46699, -6288
834, 47343, -8612
835, 46762, -13865
836, 43676, -22816
837, 37134, -32056
838, 27763, -41134
839, 15955, -48193
840, 4641, -52219
841, -6748, -53872
842, -18654, -52566
843, -29707, -48651
844, -40718, -42001
845, -49392, -32629
846, -55674, -21507
847, -60294, -9948
848, -60200, 1249
849, -58485, 10610
850, -53388, 18760
851, -45257, 24732
852, -32929, 26689
853, -17081, 25138
854, -2149, 20165
855, 12791, 13759
856, 25678, 6424
857, 35171, -2253
858, 40887, -10024
859, 43461, -16188
860, 45663, -21587
861, 46992, -28172
862, 44395, -35033
863, 37844, -42010
864, 28370, -46807
865, 14166, -50323
866, 187, -50579
867, -12533, -49613
868, -23566, -46429
869, -32518, -42579
870, -38780, -38220
871, -44173, -32732
872, -46724, -26439
873, -49795, -18479
874, -49847, -9021
875, -48350, 1622
876, -45580, 12953
877, -43218, 22832
878, -38392, 31847
879, -33995, 38908
880, -29328, 44222
881, -24444, 48142
882, -18666, 51225
883, -10151, 53102
884, -1500, 52384
885, 10453, 48924
886, 22552, 43761
887, 34625, 36915
888, 44920, 27905
889, 52484, 20530
890, 56930, 12742
891, 59743, 6002
892, 60387, -297
893, 58405, -6623
894, 52142, -12592
895, 40038, -19512
896, 23541, -23082
897, 5528, -24790
898, -12031, -21750
899, -26845, -18201
900, -35458, -10168
901, -42470, -2851
902, -44717, 6444
903, -46946, 16552
904, -45803, 28503
905, -39624, 39969
906, -31391, 50696
907, -20118, 59296
908, -9665, 63034
909, 274, 64615
910, 8969, 62392
911, 16975, 55634
912, 22854, 44622
913, 25322, 27088
914, 22560, 7347
915, 17377, -11183
916, 10896, -28729
917, 3232, -40527
918, -4111, -45486
919, -9971, -46515
920, -15476, -47309
921, -20599, -45218
922, -25696, -36469
923, -26152, -19831
924, -23826, -1948
925, -16133, 15072
926, -9575, 31512
927, 139, 40920
928, 9026, 45109
929, 17421, 46120
930, 26189, 47119
931, 37294, 45423
932, 48121, 38850
933, 56198, 28500
934, 61510, 14966
935, 62392, 1897
936, 59159, -10693
937, 53139, -20738
938, 43389, -27882
939, 29451, -31855
940, 14158, -30430
941, -3182, -24886
942, -17312, -15221
943, -28808, -7319
944, -36425, 2266
945, -41819, 10373
946, -43058, 17527
947, -44506, 24658
948, -44009, 31667
949, -40170, 38236
950, -32708, 44301
951, -21611, 48628
952, -10023, 50473
953, 2751, 49376
954, 12499, 48300
955, 20825, 46795
956, 26704, 45398
957, 29764, 43734
958, 31130, 43965
959, 30174, 44540
960, 27173, 45771
961, 22898, 46377
962, 17631, 48100
963, 11725, 50196
964, 6006, 51023
965, 1310, 51795
966, -1587, 53206
967, -3532, 55202
968, -3315, 56041
969, -1265, 56458
970, 2267, 56847
971, 9089, 54778
972, 16449, 50981
973, 25463, 44946
974, 34669, 37151
975, 41557, 26808
976, 47760, 17098
977, 52138, 8377
978, 53820, 61
979, 53179, -7237
980, 50869, -12642
981, 47050, -17223
982, 38275, -19647
983, 26682, -19963
984, 12007, -16673
985, -634, -13167
986, -11768, -5562
987, -27847, -1217
988, -37035, 6329
989, -42209, 11851
990, -44752, 15744
991, -49883, 19481
992, -56293, 22785
993, -59854, 25487
994, -61399, 26542
995, -60268, 26661
996, -58023, 24717
997, -54131, 19669
998, -48807, 12094
999, -43501, 3881
1000, -37727, -6633
1001, -32174, -16697
1002, -28568, -27004
1003, -24336, -34152
1004, -20192, -38809
1005, -16760, -42911
1006, -13659, -45657
1007, -10288, -47642
1008, -6028, -47964
1009, -737, -45353
1010, 5997, -41196
1011, 12923, -34482
1012, 21380, -27518
1013, 29199, -20711
1014, 36903, -14489
1015, 43078, -10535
1016, 49669, -7985
1017, 54504, -5780
1018, 60733, -4423
1019, 65427, -4900
1020, 68230, -6687
1021, 69923, -9004
1022, 67686, -11926
1023, 63358, -15051
1024, 53369, -16863
1025, 38192, -16361
1026, 20712, -14263
1027, 2976, -11856
1028, -16385, -6676
1029, -30052, -719
1030, -38214, 4916
1031, -41445, 8751
1032, -43236, 11827
1033, -45142, 15172
1034, -43869, 17087
1035, -36105, 19354
1036, -20711, 17793
1037, -4770, 16058
1038, 11347, 9606
1039, 29759, 4887
1040, 39197, -3195
1041, 44016, -9801
1042, 44550, -15953
1043, 47603, -22252
1044, 50308, -31158
1045, 47276, -40448
1046, 38829, -49443
1047, 26288, -56518
1048, 11017, -59923
1049, -5940, -58906
1050, -20989, -54837
1051, -34756, -46976
1052, -45639, -36984
1053, -52770, -26023
1054, -57548, -14234
1055, -59719, -3035
1056, -59505, 6147
1057, -56437, 13907
1058, -50878, 19244
1059, -43428, 22075
1060, -32678, 20038
1061, -19319, 13910
1062, -6882, 6723
1063, 3369, -280
1064, 14770, -6810
1065, 24634, -15028
1066, 31507, -18503
1067, 36287, -16951
1068, 42783, -14847
1069, 50381, -9171
1070, 53156, 803
1071, 52781, 12880
1072, 48869, 25932
1073, 41057, 38672
1074, 31479, 47528
1075, 20902, 54663
1076, 9572, 57228
1077, -1725, 56327
1078, -12342, 51949
1079, -24168, 44300
1080, -33850, 34131
1081, -40647, 22235
1082, -44806, 12372
1083, -46889, 5704
1084, -47036, 3645
1085, -46295, 4788
1086, -43987, 9639
1087, -39839, 17659
1088, -34375, 28644
1089, -26240, 39930
1090, -16946, 49225
1091, -7950, 53565
1092, 654, 56415
1093, 9233, 55946
1094, 18532, 53030
1095, 28474, 46287
1096, 38440, 35312
1097, 45486, 20410
1098, 49860, 4819
1099, 51236, -8339
1100, 50803, -17063
1101, 49943, -20585
1102, 48580, -20915
1103, 47966, -17302
1104, 43998, -8998
1105, 37285, 4378
1106, 31159, 17991
1107, 24362, 31393
1108, 18715, 42686
1109, 14277, 47946
1110, 11288, 50664
1111, 9057, 50812
1112, 7920, 48415
1113, 6817, 39654
1114, 6391, 23230
1115, 5913, 6083
1116, 3534, -13526
1117, 302, -27594
1118, -4591, -39542
1119, -8266, -42136
1120, -12618, -45336
1121, -18851, -49157
1122, -26707, -53178
1123, -35890, -48141
1124, -44339, -37952
